,Court,Last Hearing Date,Court ID
4499,Bath,12/09/2020,017C
4502,Bath,03/25/2020,017C
4506,Bath,11/16/2020,017C
4514,Bath,05/27/2020,017C
4534,Bath,02/26/2020,017C
4539,Bath,01/21/2020,017C
4555,Bath,10/05/2020,017C
4558,Bedford,11/10/2020,019C
4560,Bedford,12/01/2020,019C
4561,Bedford,10/27/2020,019C
4563,Bedford,05/08/2020,019C
4567,Bedford,06/23/2020,019C
4570,Bedford,02/21/2020,019C
4573,Bedford,09/22/2020,019C
4574,Bedford,09/08/2020,019C
4577,Bedford,10/09/2020,019C
4580,Bedford,12/15/2020,019C
4581,Bedford,05/15/2020,019C
4583,Bedford,01/31/2020,019C
4589,Bedford,11/05/2020,019C
4590,Bedford,06/30/2020,019C
4591,Bedford,12/11/2020,019C
4592,Bedford,10/20/2020,019C
4593,Bedford,12/08/2020,019C
4594,Bedford,07/28/2020,019C
4595,Bedford,03/06/2020,019C
4598,Bedford,10/13/2020,019C
4599,Bedford,01/14/2020,019C
4600,Bedford,09/15/2020,019C
4603,Bedford,06/02/2020,019C
4604,Bedford,03/13/2020,019C
4608,Bedford,04/21/2020,019C
4613,Bedford,01/24/2020,019C
4616,Bedford,05/29/2020,019C
4619,Bedford,09/25/2020,019C
4622,Bedford,11/17/2020,019C
4623,Bedford,11/20/2020,019C
4624,Bedford,05/19/2020,019C
4634,Bedford,06/16/2020,019C
4636,Bedford,04/28/2020,019C
4641,Bedford,03/10/2020,019C
4643,Bedford,08/28/2020,019C
4647,Bedford,09/01/2020,019C
4654,Bedford,08/04/2020,019C
4655,Bedford,09/29/2020,019C
4657,Bedford,08/18/2020,019C
4660,Bedford,10/06/2020,019C
4661,Bedford,02/28/2020,019C
4663,Bedford,08/25/2020,019C
4665,Bedford,01/09/2020,019C
4670,Bedford,06/26/2020,019C
4675,Bedford,08/21/2020,019C
4685,Bedford,02/11/2020,019C
4688,Bedford,03/03/2020,019C
4709,Bedford,01/07/2020,019C
4711,Bedford,06/09/2020,019C
4734,Bedford,10/30/2020,019C
4745,Bedford,07/07/2020,019C
4747,Bedford,06/12/2020,019C
4750,Bedford,09/03/2020,019C
4752,Bedford,02/25/2020,019C
4754,Bedford,02/18/2020,019C
4759,Bedford,02/07/2020,019C
4761,Bedford,09/11/2020,019C
4764,Bedford,02/04/2020,019C
4766,Bedford,05/05/2020,019C
4781,Bedford,02/14/2020,019C
4785,Bedford,11/24/2020,019C
4794,Bedford,11/13/2020,019C
4807,Bedford,03/05/2020,019C
4811,Bedford,06/05/2020,019C
4813,Bedford,01/28/2020,019C
4846,Bedford,12/04/2020,019C
4856,Bedford,06/19/2020,019C
4859,Bedford,01/10/2020,019C
4861,Bedford,07/09/2020,019C
4877,Bedford,04/14/2020,019C
4907,Bedford,08/07/2020,019C
4919,Bedford,01/21/2020,019C
4923,Bedford,05/01/2020,019C
4935,Bedford,07/10/2020,019C
4966,Bedford,07/31/2020,019C
4981,Bedford,09/18/2020,019C
5034,Bedford,11/06/2020,019C
5035,Bedford,05/26/2020,019C
5043,Bedford,10/16/2020,019C
5053,Bedford,10/02/2020,019C
5066,Bedford,03/27/2020,019C
